Date,High,Low,Close
03-03-2022,386.119995,364.649994,368.070007
04-03-2022,374.820007,357.170013,361.730011
07-03-2022,362,350.200012,350.26001
08-03-2022,358.859985,340.670013,341.76001
09-03-2022,364.140015,350.51001,358.790009
10-03-2022,367.019989,353.299988,356.769989
11-03-2022,363.359985,340,340.320007
14-03-2022,341.320007,329.820007,331.01001
15-03-2022,345.359985,332.359985,343.75
16-03-2022,359.98999,343.059998,357.529999
17-03-2022,373.309998,354.880005,371.399994
18-03-2022,381.799988,368.470001,380.600006
21-03-2022,381.820007,368.940002,374.589996
22-03-2022,386.660004,366.76001,382.920013
23-03-2022,382.459991,374.48999,374.48999
24-03-2022,379.76001,368.899994,375.709991
25-03-2022,377.640015,366.429993,373.850006
28-03-2022,380.279999,366.730011,378.51001
29-03-2022,396.5,380.329987,391.820007
30-03-2022,392.700012,378.630005,381.470001
31-03-2022,384,373.609985,374.589996
01-04-2022,380.869995,368.5,373.470001
04-04-2022,396.019989,373.130005,391.5
05-04-2022,390,377.309998,380.149994
06-04-2022,376.470001,362.730011,368.350006
07-04-2022,368.540009,353.690002,362.149994
08-04-2022,362.5,354.869995,355.880005
11-04-2022,354.779999,345.200012,348
12-04-2022,359.410004,342.25,344.100006
13-04-2022,352,341.160004,350.429993
14-04-2022,352,339.859985,341.130005
18-04-2022,342.359985,331.619995,337.859985
19-04-2022,351.679993,333.220001,348.609985
20-04-2022,248.699997,212.509995,226.190002
21-04-2022,227.679993,211.520004,218.220001
22-04-2022,226.270004,210.050003,215.520004
25-04-2022,216.660004,204.509995,209.910004
26-04-2022,209.149994,198.279999,198.399994
27-04-2022,200.190002,187.770004,188.539993
28-04-2022,201.479996,185.600006,199.520004
29-04-2022,204.710007,190,190.360001
02-05-2022,200.210007,190.009995,199.460007
03-05-2022,203.199997,194.770004,199.869995
04-05-2022,204.380005,191.009995,204.009995
05-05-2022,200.710007,186,188.320007
06-05-2022,187.210007,175.809998,180.970001
09-05-2022,183.199997,172.300003,173.100006
10-05-2022,181.869995,170.570007,177.660004
11-05-2022,180.919998,165.550003,166.369995
12-05-2022,177.580002,162.710007,174.309998
13-05-2022,187.770004,176.009995,187.639999
16-05-2022,195.889999,185.699997,186.509995
17-05-2022,191.399994,185.169998,190.559998
18-05-2022,187.699997,176.270004,177.190002
19-05-2022,186.300003,175.710007,183.479996
20-05-2022,190.190002,179.770004,186.350006
23-05-2022,187.660004,177.889999,187.440002
24-05-2022,184,177.169998,180.339996
25-05-2022,188.869995,180.169998,187.830002
26-05-2022,192.339996,183.089996,191.399994
27-05-2022,195.25,190.369995,195.190002
31-05-2022,199.949997,190.800003,197.440002
01-06-2022,202.740005,191.660004,192.910004
02-06-2022,205.470001,191.720001,205.089996
03-06-2022,202.949997,198.050003,198.979996
06-06-2022,203.869995,195.380005,197.139999
07-06-2022,199.600006,193,198.610001
08-06-2022,207.380005,197.639999,202.830002
09-06-2022,201.690002,192.539993,192.770004
10-06-2022,185.860001,180.850006,182.940002
13-06-2022,179.089996,168.960007,169.690002
14-06-2022,172.059998,164.279999,167.539993
15-06-2022,183.850006,168.529999,180.110001
16-06-2022,176.270004,171.559998,173.350006
17-06-2022,179.649994,173.339996,175.509995
21-06-2022,178.619995,169.800003,170.910004
22-06-2022,182.820007,170.199997,178.889999
23-06-2022,182.759995,175.869995,181.710007
24-06-2022,191.190002,181.839996,190.850006
27-06-2022,191.779999,182.389999,189.139999
28-06-2022,192.199997,179.369995,179.600006
29-06-2022,180.669998,175.100006,178.360001
30-06-2022,179.449997,170.300003,174.869995
01-07-2022,180.100006,174.270004,179.949997
05-07-2022,185.919998,172.679993,185.880005
06-07-2022,186.220001,180.820007,184.059998
07-07-2022,190.210007,183.5,189.270004
08-07-2022,189.910004,182.75,186.979996
11-07-2022,184.990005,176.889999,177.339996
12-07-2022,179.779999,173.419998,174.449997
13-07-2022,179.179993,169.699997,176.559998
14-07-2022,177.520004,171.820007,174.779999
15-07-2022,189.220001,174.559998,189.110001
18-07-2022,199.669998,189.800003,190.919998
19-07-2022,201.970001,188.399994,201.630005
20-07-2022,216.970001,200.100006,216.440002
21-07-2022,224.320007,211.5,223.880005
22-07-2022,229.350006,218.440002,220.440002
25-07-2022,225.229996,216.350006,218.509995
26-07-2022,219.389999,211.639999,213.910004
27-07-2022,227.779999,214.580002,226.75
28-07-2022,228.100006,219.669998,226.020004
29-07-2022,230.75,222.399994,224.899994
01-08-2022,228.389999,221,226.210007
02-08-2022,228.199997,220.880005,221.419998
03-08-2022,228.100006,222.419998,226.729996
04-08-2022,232.070007,225.050003,229.910004
05-08-2022,228.619995,222.869995,226.779999
08-08-2022,241.960007,226.410004,233.490005
09-08-2022,232.199997,224.649994,229.940002
10-08-2022,244.539993,236.600006,244.110001
11-08-2022,251.619995,241.509995,242.699997
12-08-2022,249.410004,243.759995,249.300003
15-08-2022,251.990005,247.509995,249.110001
16-08-2022,249.289993,244.029999,245.690002
17-08-2022,244.240005,237.559998,241.149994
18-08-2022,246.479996,239.279999,245.169998
19-08-2022,243.289993,235.679993,241.160004
22-08-2022,233.479996,224.589996,226.539993
23-08-2022,229.899994,224.300003,224.550003
24-08-2022,234.100006,223.940002,229.610001
25-08-2022,234.160004,229,233.979996
26-08-2022,236.949997,223.149994,223.279999
29-08-2022,229.869995,221.520004,224.570007
30-08-2022,229.789993,218.740005,220.649994
31-08-2022,233.880005,223.429993,223.559998
01-09-2022,230.369995,219.470001,230.039993
02-09-2022,233.880005,225.039993,226.110001
06-09-2022,226.850006,214.690002,218.389999
07-09-2022,229.330002,218.270004,228.960007
08-09-2022,228.740005,221.300003,227.440002
09-09-2022,234.779999,229.619995,233.570007
12-09-2022,239.490005,233.369995,236.529999
13-09-2022,227.690002,217.720001,218.130005
14-09-2022,228,215.800003,224.119995
15-09-2022,242.289993,229.100006,235.380005
16-09-2022,241.360001,227.830002,240.130005
19-09-2022,245.25,235.75,243.630005
20-09-2022,250.490005,239.660004,242.850006
21-09-2022,248.300003,236.679993,236.869995
22-09-2022,240.5,231.660004,237.050003
23-09-2022,236.449997,221.429993,226.410004
26-09-2022,232.699997,223.009995,224.070007
27-09-2022,230.639999,220.720001,224.360001
28-09-2022,246.649994,227.380005,245.199997
29-09-2022,246.979996,235.679993,239.710007
30-09-2022,242.440002,233.259995,235.440002
03-10-2022,241.539993,232.850006,239.039993
04-10-2022,245.800003,233.25,240.740005
05-10-2022,241.589996,227.380005,236.729996
06-10-2022,244.279999,233.910004,240.020004
